Date,Home Team,Away Team,Game PK,Headline,MP4
2023-05-07,Atlanta Braves,Baltimore Orioles,718277,Orioles vs. Braves Highlights,https://mlb-cuts-diamond.mlb.com/FORGE/2023/2023-05/07/f9c808d4-6a371217-a34af655-csvm-diamondx64-asset_1280x720_59_4000K.mp4
2023-05-07,Pittsburgh Pirates,Toronto Blue Jays,718278,Blue Jays vs. Pirates Highlights,https://mlb-cuts-diamond.mlb.com/FORGE/2023/2023-05/07/4d442fd8-10933dba-d34a359b-csvm-diamondx64-asset_1280x720_59_4000K.mp4
2023-05-07,Philadelphia Phillies,Boston Red Sox,718270,Red Sox vs. Phillies Highlights,https://mlb-cuts-diamond.mlb.com/FORGE/2023/2023-05/07/eea5e074-163508e1-ef9c381d-csvm-diamondx64-asset_1280x720_59_4000K.mp4
2023-05-07,New York Mets,Colorado Rockies,718276,Rockies vs. Mets Highlights,https://mlb-cuts-diamond.mlb.com/FORGE/2023/2023-05/07/8e046e42-a03281b7-734e13e1-csvm-diamondx64-asset_1280x720_59_4000K.mp4
2023-05-07,Cleveland Guardians,Minnesota Twins,718273,Twins vs. Guardians Highlights ,https://mlb-cuts-diamond.mlb.com/FORGE/2023/2023-05/07/4fbe654b-c7b12771-634e7dd1-csvm-diamondx64-asset_1280x720_59_4000K.mp4
2023-05-07,Tampa Bay Rays,New York Yankees,718271,Yankees vs. Rays Highlights ,https://mlb-cuts-diamond.mlb.com/FORGE/2023/2023-05/07/e3259150-f3e9015a-87306f5a-csvm-diamondx64-asset_1280x720_59_4000K.mp4
2023-05-07,Kansas City Royals,Oakland Athletics,718268,Athletics vs. Royals Highlights,https://mlb-cuts-diamond.mlb.com/FORGE/2023/2023-05/07/93254967-2d29c894-4e6d1a45-csvm-diamondx64-asset_1280x720_59_4000K.mp4
2023-05-07,St. Louis Cardinals,Detroit Tigers,718272,Tigers vs. Cardinals Highlights,https://mlb-cuts-diamond.mlb.com/FORGE/2023/2023-05/07/c7630797-7a103856-7195be5d-csvm-diamondx64-asset_1280x720_59_4000K.mp4
2023-05-07,Chicago Cubs,Miami Marlins,718269,Marlins vs. Cubs Highlights,https://mlb-cuts-diamond.mlb.com/FORGE/2023/2023-05/07/19a76967-2e83ec51-28ca9703-csvm-diamondx64-asset_1280x720_59_4000K.mp4
2023-05-07,San Francisco Giants,Milwaukee Brewers,718267,Brewers vs. Giants Highlights,https://mlb-cuts-diamond.mlb.com/FORGE/2023/2023-05/07/e7d34e5c-568eca2a-9d64a747-csvm-diamondx64-asset_1280x720_59_4000K.mp4
